matters_now,source,brand,slug,one_time_use,max_cards_per_order,works_online,spend_scope
no (BuyHatke sells 1 per checkout),buyhatke,Muthoot Gold,muthoot-gold-gift-card,yes,,yes,All articles available on https://buygold.muthoot.com
no (BuyHatke sells 1 per checkout),buyhatke,MXPlayer,mxplayer-gift-card,yes,,yes,MX Player Gold subscription only
no (BuyHatke sells 1 per checkout),buyhatke,myHQ,myhq-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Nat Habit,nat-habit-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Natures Basket,natures-basket-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Natures Basket In Store,natures-basket-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Nautica,nautica-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Neemans,neemans-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Neerus In Store,neerus-(in-store)-gift-card,not_stated,,no,Any fashion apparel or accessories (Yuva) available in-store
no (BuyHatke sells 1 per checkout),buyhatke,Nestasia,nestasia-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,NEXT In Store,next-(in-store)-gift-card,not_stated,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Nintendo,nintendo-gift-card,not_stated,,yes,Games and other content on Nintendo eShop and other Nintendo shopping services
no (BuyHatke sells 1 per checkout),buyhatke,Nua Women,nua-women-gift-card,no,,yes,All products & services on the Nua website except subscriptions
no (BuyHatke sells 1 per checkout),buyhatke,Oberoi Hotels Resorts,oberoi-hotels-resorts-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,ONLY (In Store),only-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Origin Nutrition,origin-nutrition-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Ovenstory,ovenstory-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,"Pantaloons (In Store, 4 Hr Wait)",pantaloons-(in-store%2C-4-hr-wait)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Park Avenue In Store,park-avenue-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Parx In Store,parx-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Paul and Shark Luxe In Store,paul-and-shark-luxe-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,PC Chandra Gems Gold Coin,pc-chandra-gems-gold-coin-gift-card,yes,,yes,All products at participating P.C Chandra stores and webstore
no (BuyHatke sells 1 per checkout),buyhatke,PC Chandra Gold Coin,pc-chandra-gold-coin-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,PCJ Diamond Jewellery In Store,pcj-diamond-jewellery-(in-store)-gift-card,yes,,no,Diamond Jewellery only
no (BuyHatke sells 1 per checkout),buyhatke,PCJ Gold Coin In Store,pcj-gold-coin-(in-store)-gift-card,no,,no,"Gold coins, gold jewellery, and diamond jewellery"
no (BuyHatke sells 1 per checkout),buyhatke,PCJ Gold Jewellery In Store,pcj-gold-jewellery-(in-store)-gift-card,not_stated,,no,Diamond Jewellery / Gold Jewellery only
no (BuyHatke sells 1 per checkout),buyhatke,Peora Fashions In Store,peora-fashions-(in-store)-gift-card,yes,,no,Any Jewellery at Peora Fashion Jewellery Pvt Ltd Stores in India
no (BuyHatke sells 1 per checkout),buyhatke,PEORA In Store,peora-(in-store)-gift-card,yes,,no,Any Jewellery at Peora Fashion Jewellery Pvt Ltd Stores in India
no (BuyHatke sells 1 per checkout),buyhatke,Pepperfry,pepperfry-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Peter England In Store,peter-england-(in-store)-gift-card,yes,,no,All merchandise at Peter England stores
no (BuyHatke sells 1 per checkout),buyhatke,Philips,philips-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,PhonePe,phonepe-gift-card,no,,yes,All Eligible PhonePe merchants and services
no (BuyHatke sells 1 per checkout),buyhatke,PinePerksRupayPrime WH (4 Day Wait),pineperksrupayprime-wh-(4-day-wait)-gift-card,not_stated,,yes,Any POS and e-commerce merchants in India where RuPay is accepted
no (BuyHatke sells 1 per checkout),buyhatke,Planet Fashion In Store,planet-fashion-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Playo,playo-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Playstation,playstation-gift-card,not_stated,,yes,Items in the PS Store available to Indian account holders
no (BuyHatke sells 1 per checkout),buyhatke,PMJ Jewellers In Store,pmj-jewellers-(in-store)-gift-card,not_stated,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Points for Good,points-for-good-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Polar bear In Store,polar-bear-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Polaroid,polaroid-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Prestige Smart Kitchen,prestige-smart-kitchen-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Punjab Grill In Store,punjab-grill-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Pure Home Living,pure-home-living-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,R B In Store,r-b-(in-store)-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Ratnadeep Retail In Store,ratnadeep-retail-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Ratnadeep Super Market (In Store),ratnadeep-super-market-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Razer Gold,razer-gold-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Reliance Smart,reliance-smart-gift-card,yes,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Reliance Smart In Store,reliance-smart-(in-store)-gift-card,yes,,no,"Qualified products from Reliance Signature, Reliance Smart Bazaar, Reliance SmartPoint and Reliance Freshpik"
no (BuyHatke sells 1 per checkout),buyhatke,Rentomojo,rentomojo-gift-card,no,,yes,Rental payments for products rented from the Company only
no (BuyHatke sells 1 per checkout),buyhatke,Roblox,roblox-gift-card,not_stated,,yes,"Roblox credits on www.roblox.com, usable for Robux or a Roblox Premium Subscription"
no (BuyHatke sells 1 per checkout),buyhatke,Salty,salty-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Sathya In Store,sathya-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Satya Paul Luxe,satya-paul-luxe-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,SELECTED HOMME (In Store),selected-homme-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Senco Gold In Store,senco-gold-(in-store)-gift-card,yes,,no,"Gold Jewelry, Diamond Jewelry, Gossip collection, Astral Gems/Jewelry, Silver products, Gold & Silver coins, “Sennes” Leather Bags, “Sennes” Lab Grown Diamond Jewelry, and “Sennes” Perfume"
no (BuyHatke sells 1 per checkout),buyhatke,Skullcandy,skullcandy-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Smile Foundation,smile-foundation-gift-card,yes,,yes,Donation at https://donate.smilefoundationindia.org/shiksha-na-ruke-voucher only
no (BuyHatke sells 1 per checkout),buyhatke,SOTC Travel In Store,sotc-travel-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Soulflower,soulflower-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Spar Hypermart In Store,spar-hypermart-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Sri Jagdamba Pearls,sri-jagdamba-pearls-gift-card,yes,,yes,Pearl jewellery only
no (BuyHatke sells 1 per checkout),buyhatke,SSUNSU,ssunsu-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Starbucks (In Store),starbucks-(in-store)-gift-card,not_stated,,no,"Beverages, food, and merchandise"
no (BuyHatke sells 1 per checkout),buyhatke,StayVista,stayvista-gift-card,no,,yes,Eligible properties and services available on StayVista
no (BuyHatke sells 1 per checkout),buyhatke,Steam,steam-gift-card,not_stated,,yes,"Games, software, and any other item you can purchase on Steam"
no (BuyHatke sells 1 per checkout),buyhatke,Steam Lysto,steam-lysto-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Sterling Holidays,sterling-holidays-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Street Foods By Punjab Grill,street-foods-by-punjab-grill-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Street Foods By Punjab Grill In Store,street-foods-by-punjab-grill-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Style Bazaar In Store,style-bazaar-(in-store)-gift-card,not_stated,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Superdry Luxe,superdry-luxe-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Surat Diamonds Main,surat-diamonds-main-gift-card,not_stated,,yes,Any jewellery from www.suratdiamond.com only
no (BuyHatke sells 1 per checkout),buyhatke,Surat Diamonds Solitaire,surat-diamonds-solitaire-gift-card,not_stated,,yes,Any jewellery from https://ringdesign.suratdiamond.com/Default.aspx
no (BuyHatke sells 1 per checkout),buyhatke,Swiggy One,swiggy-one-gift-card,not_stated,,yes,Swiggy One membership activation only
no (BuyHatke sells 1 per checkout),buyhatke,Taj Dining,taj-dining-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Taj Experiences,taj-experiences-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Taj Experiences In Store,taj-experiences-(in-store)-gift-card,no,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Taj Hotels,taj-hotels-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Taj Hotels J Wellness Circle Bliss Duo In Store,taj-hotels-j-wellness-circle-bliss-duo-(in-store)-gift-card,yes,,no,"The stated spa treatment at participating Spas across Taj, SeleQtions Gateway and Vivanta hotels only"
no (BuyHatke sells 1 per checkout),buyhatke,Taj Hotels J Wellness Circle Bliss Solo In Store,taj-hotels-j-wellness-circle-bliss-solo-(in-store)-gift-card,yes,,no,"The stated spa treatment at participating Spas across Taj, SeleQtions Gateway and Vivanta hotels only"
no (BuyHatke sells 1 per checkout),buyhatke,Taj Spa,taj-spa-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Taneira,taneira-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Taneira In Store,taneira-(in-store)-gift-card,not_stated,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Tanishq Gold Coin,tanishq-gold-coin-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Tanishq Gold Coin In Store,tanishq-gold-coin-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Tanishq Gold Jewellery In Store,tanishq-gold-jewellery-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Tanishq Studded In Store,tanishq-studded-(in-store)-gift-card,yes,,no,Studded and diamond jewellery only
no (BuyHatke sells 1 per checkout),buyhatke,Tasva,tasva-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,TATA CLiQ Fashion,tata-cliq-fashion-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Tata CliQ Luxury,tata-cliq-luxury-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,TataCliq Fashion,tatacliq-fashion-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,TBZ (In Store),tbz-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,The Collective,the-collective-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,The Reading Habit,the-reading-habit-gift-card,yes,,yes,Subscription payments on www.thereadinghabit.in
no (BuyHatke sells 1 per checkout),buyhatke,The Wellness Co (In Store),the-wellness-co-(in-store)-gift-card,not_stated,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Third Wave Coffee,third-wave-coffee-gift-card,no,,yes,All types of orders via Third Wave app
no (BuyHatke sells 1 per checkout),buyhatke,Tim Hortons In Store,tim-hortons-(in-store)-gift-card,no,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Times Prime Power,times-prime-power-gift-card,yes,,yes,Times Prime membership
no (BuyHatke sells 1 per checkout),buyhatke,Times Prime Prive,times-prime-prive-gift-card,yes,,yes,Times Prime membership
no (BuyHatke sells 1 per checkout),buyhatke,TimeZone In Store,timezone-(in-store)-gift-card,not_stated,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Tinder,tinder-gift-card,yes,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Tira Beauty,tira-beauty-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Titan Eye Plus,titan-eye-plus-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Titan Eye Plus In Store,titan-eye-plus-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Toscano In Store,toscano-(in-store)-gift-card,yes,,no,Dine-in only
no (BuyHatke sells 1 per checkout),buyhatke,Trends Women In Store,trends-women-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Typsy Beauty,typsy-beauty-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Unicorn Apple Premium In Store,unicorn-apple-premium-(in-store)-gift-card,yes,,no,Any Apple product sold at Unicorn stores
no (BuyHatke sells 1 per checkout),buyhatke,UniPin,unipin-gift-card,not_stated,,yes,Game top-ups and game vouchers on UniPin
no (BuyHatke sells 1 per checkout),buyhatke,Unlimited In Store,unlimited-(in-store)-gift-card,not_stated,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Urban Space,urban-space-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Vaango In Store,vaango-(in-store)-gift-card,not_stated,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Valorant,valorant-gift-card,yes,,yes,Valorant Points (VP) at prepaidcards.riotgames.com and the Valorant in-game store
no (BuyHatke sells 1 per checkout),buyhatke,Van Heusen In Store,van-heusen-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Vero Moda (In Store),vero-moda-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Victorias Secret,victorias-secret-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Vinci Botanicals,vinci-botanicals-gift-card,no,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Westside In Store 8 Hr Wait,westside-(in-store%2C-8-hr-wait)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Xbox Essential Game Pass,xbox-essential-game-pass-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Xbox Premium Game Pass,xbox-premium-game-pass-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Xbox Ultimate Game Pass,xbox-ultimate-game-pass-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Yatra Hotel,yatra-hotel-gift-card,not_stated,,yes,Domestic Hotel bookings only
no (BuyHatke sells 1 per checkout),buyhatke,Yatra Hotels Holidays,yatra-hotels-holidays-gift-card,not_stated,,yes,"Hotels (Domestic/International), and Holidays (Domestic/International)"
no (BuyHatke sells 1 per checkout),buyhatke,YLG (In Store),ylg-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,YouMee,youmee-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Zambar,zambar-gift-card,not_stated,,not_stated,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Zambar In Store,zambar-(in-store)-gift-card,yes,,no,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Zepto,zepto-gift-card,not_stated,,yes,not_stated
no (BuyHatke sells 1 per checkout),buyhatke,Zouk,zouk-gift-card,not_stated,,not_stated,not_stated
