brand,sellers,listing_active,where_voucher_works,website,how_confirmed,notes
GoIbibo Hotel,buyhatke + maximize,yes,website,goibibo.com,confirmed 2026-09-10: auto: name in address,
Google Play,buyhatke,yes,app only,play.google.com,used in Google Play Store; not a shop checkout Dealo can appear on,
GRT Jewellers,gyftr + maximize,yes,store only,grtjewels.com,page loaded and checked 2026-09-17,
GRT Jewellers In Store,buyhatke,yes,store only,grtjewels.com,page loaded and checked 2026-09-17,
Gupta Distributors In Store,buyhatke,yes,store only,guptadistributors.com,page loaded and checked 2026-09-17,
GyFTR PAY,gyftr,no,website,gyftr.com,verified in Aug 2026 audit,
H BY HAMLEYS- Luxe Gift Card,gyftr,no,store only,hamleys.in,page loaded and checked 2026-09-17,
Hamleys - LUXE,maximize,yes,store only,hamleys.in,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Hamleys Luxe In Store,buyhatke,yes,store only,hamleys.in,page loaded and checked 2026-09-17,
Hamleys-Luxe Gift Card,gyftr,yes,website,hamleys.in,extension list (#26),
Hammer,buyhatke + gyftr + maximize,yes,website,hammeronline.in,extension list (#26),
Haute Sauce,buyhatke + gyftr,yes,website,buyhautesauce.com,extension list (#26),
Headout,maximize,yes,website,headout.com,extension list (#26),
Health & Glow,gyftr,yes,store only,healthandglow.com,page loaded and checked 2026-09-17,
Health and Glow In Store,buyhatke,yes,store only,healthandglow.com,page loaded and checked 2026-09-17,
Healthians,gyftr,yes,website,healthians.com,extension list (#26),
HealthifyMe Smart Plan,buyhatke,yes,app only,healthifyme.com,web search: healthifyme.com; terms: redeem in HealthifyMe app,
HealthKart,buyhatke + gyftr + maximize,yes,website,healthkart.com,extension list (#26),
Helios,gyftr,yes,store only,helioswatchstore.com,verified in Aug 2026 audit,
Helios In Store,buyhatke,yes,store only,helioswatchstore.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Helios In Store 1 Day Wait,buyhatke,yes,store only,helioswatchstore.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Hidesign,buyhatke + gyftr + maximize,yes,website,hidesign.com,extension list (#26),
Hidesign In Store,buyhatke,yes,store only,hidesign.com,page loaded and checked 2026-09-17,
Himalaya Wellness,gyftr,yes,store only,himalayawellness.in,page loaded and checked 2026-09-17,
Himalaya Wellness In Store,buyhatke,yes,store only,himalayawellness.in,page loaded and checked 2026-09-17,
Hindustan Times Premium,gyftr,yes,website,hindustantimes.com,extension list (#26),
Hoichoi,buyhatke + gyftr,yes,website,hoichoi.tv,extension list (#26),
Holiday Tribe,maximize,yes,store only,holidaytribe.com,page loaded and checked 2026-09-17,
Home,buyhatke,yes,website,at-home.co.in,extension list (#26),
Home Centre,gyftr,yes,store only,homecentre.in,verified in Aug 2026 audit,
Home Centre Online,gyftr,yes,website,homecentre.in,extension list (#26),
Homecentre In Store,buyhatke,yes,store only,homecentre.in,page loaded and checked 2026-09-17,
Homecentre Offline,maximize,yes,store only,homecentre.in,page loaded and checked 2026-09-17,
Honest Bowl,buyhatke,yes,app only,eatsure.com,terms: only redeemable in the EatSure iOS/Android app (a Rebel Foods brand); eatsure.com rejected as this brand's site on 2026-09-10,
Hoora,gyftr,yes,website,hoora.in,extension list (#26),
HopInTown Plus,buyhatke,yes,website,hopintown.com,extension list (#26),
Hopscotch,maximize,no,website,hopscotch.in,extension list (#26),
House of Vaaree,buyhatke,yes,website,vaaree.com,extension list (#26),
HP Pay,buyhatke + gyftr + maximize,yes,website,hppay.in,extension list (#26),
HP Pay 250 300,buyhatke,yes,app only,hindustanpetroleum.com,terms: valid only on HP Pay mobile app,
HP Pay In App,buyhatke,yes,app only,hindustanpetroleum.com,terms: valid only on HP Pay mobile app,
Hugo Boss Luxe In Store,buyhatke,yes,store only,hugoboss.com,page loaded and checked 2026-09-17,
Hugo Boss-Luxe,buyhatke + maximize,yes,store only,,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Hugo Boss-Luxe Gift Card,gyftr,yes,store only,hugoboss.com,page loaded and checked 2026-09-17,
Hunkemoller In Store,buyhatke,yes,store only,hunkemoller.in,page loaded and checked 2026-09-17,
Hunkemoller- Luxe Gift Card,gyftr,yes,website,hunkemoller.in,extension list (#26),
Hush Puppies,gyftr + maximize,yes,store only,bata.com,web search 2026-09-17,Bata runs Hush Puppies in India; hushpuppies.in is a closed shop and hushpuppiesindia.co.in no longer exists
Hush Puppies - Fixed,maximize,no,store only,bata.com,web search 2026-09-17,Bata runs Hush Puppies in India; hushpuppies.in is a closed shop and hushpuppiesindia.co.in no longer exists
Hush Puppies In Store,buyhatke,yes,store only,bata.com,web search 2026-09-17,Bata runs Hush Puppies in India; hushpuppies.in is a closed shop and hushpuppiesindia.co.in no longer exists
Hyperice,gyftr,no,website,hyperice.in,extension list (#26),
IGP,buyhatke + gyftr,yes,website,igp.com,extension list (#26),
Ikea,buyhatke + gyftr,yes,website,ikea.com,extension list (#26),
Imagine Apple Premium,buyhatke,yes,website,myimaginestore.com,extension list (#26),
Imagine Apple Premium Reseller,maximize,yes,website,myimaginestore.com,confirmed 2026-09-10: auto: name in address,
Indian Terrain,maximize,yes,store only,indianterrain.com,page loaded and checked 2026-09-17,
Indian Terrain In Store,buyhatke,yes,store only,indianterrain.com,page loaded and checked 2026-09-17,
INDRIYA – Aditya Birla Jewellery,maximize,yes,store only,indriya.com,page loaded and checked 2026-09-17,
Inglot,buyhatke + gyftr + maximize,yes,store only,,"no India brand website found (sold via Myntra, Nykaa, Tira); brand's terms: accepted at listed Inglot / Victoria's Secret / Bath & Body Works / R&B stores; Gyftr: CANNOT be used online",
Inglot In Store,buyhatke,yes,store only,,web search 2026-09-17,"no India brand website; sold via Myntra, Nykaa, Tira"
INOX Cinemas - GYFTR,maximize,yes,website,pvrcinemas.com,verified in Aug 2026 audit,
Instafab Plus,buyhatke + gyftr,yes,website,instafabplus.com,extension list (#26),
INTERMILES,gyftr,no,website,intermiles.com,extension list (#26),
IOCL,gyftr,no,store only,iocl.com,"site exists, blocks automatic visits (checked 2026-09-17)",
IOCL In Store,buyhatke,yes,store only,iocl.com,"site exists, blocks automatic visits (checked 2026-09-17)",
IRCTC,gyftr + maximize,no,website,irctc.co.in,extension list (#26),
ITC Hotels,gyftr,yes,store only,itchotels.com,page loaded and checked 2026-09-17,
ITC Hotels Fabelle Chocolates In Store,buyhatke,yes,store only,fabelle.in,page loaded and checked 2026-09-17,
ITC Hotels In Store,buyhatke,yes,store only,itchotels.com,page loaded and checked 2026-09-17,
ITC Hotels Spa In Store,buyhatke,yes,store only,itchotels.com,page loaded and checked 2026-09-17,
Ixigo,buyhatke + gyftr,yes,website,ixigo.com,extension list (#26),
ixigo hotel,buyhatke + gyftr,yes,website,ixigo.com,confirmed 2026-09-10: auto: name in address,
Jawed Habib - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
JCB - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Jhari Eco Stay In Store,buyhatke,yes,store only,,voucher terms,a single resort in Chikmagalur; no website found
Jimmy Choo Luxe In Store,buyhatke,yes,store only,jimmychoo.com,"site exists, blocks automatic visits (checked 2026-09-17)",
JIMMY CHOO- Luxe Gift Card,gyftr,yes,store only,jimmychoo.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Jio Mart,buyhatke,yes,website,jiomart.com,terms: JioMart online platform; jiomart.com already trusted,
JioHotstar,buyhatke + gyftr + maximize,yes,website,jiohotstar.com,extension list (#26),
JioSaavn,gyftr,no,website,jiosaavn.com,extension list (#26),
Jockey,buyhatke + gyftr,yes,website,jockey.in,extension list (#26),
Jos Alukkas Coin,buyhatke,yes,website,josalukkasonline.com,extension list (#26),
Jos Alukkas Diamond,buyhatke + maximize,yes,website,josalukkasonline.com,confirmed 2026-09-10: auto: name in address,
Jos Alukkas Gold Coin,maximize,yes,website,josalukkasonline.com,confirmed 2026-09-10: auto: name in address,
Jos Alukkas Gold Jewellery,maximize,yes,website,josalukkasonline.com,confirmed 2026-09-10: auto: name in address,
Jos Alukkas Jewellery In Store,buyhatke,yes,store only,josalukkasonline.com,page loaded and checked 2026-09-17,
Joyalukkas,buyhatke,yes,store only,joyalukkas.in,terms: only valid for offline purchases,
Joyalukkas Diamond,maximize,yes,store only,joyalukkas.in,"web search: joyalukkas.in; terms: valid at Joyalukkas outlets, present to cashier",
Joyalukkas Diamond In Store,buyhatke,yes,store only,joyalukkas.in,page loaded and checked 2026-09-17,
Joyalukkas Gold and Diamond,maximize,yes,store only,joyalukkas.in,terms: only valid for offline purchases,
Joyalukkas Gold and Diamond 12 Hr Wait,buyhatke,yes,store only,joyalukkas.in,terms: only valid for offline purchases,
Joyalukkas Pure Gold,maximize,yes,store only,joyalukkas.in,terms: only valid for offline purchases,
Joyalukkas Pure Gold In Store,buyhatke,yes,store only,joyalukkas.in,page loaded and checked 2026-09-17,
Juicy Couture BAGLINE,buyhatke,yes,website,bagline.com,confirmed 2026-09-10: auto: name in address,
Just Lil Things,buyhatke + maximize,yes,website,justlilthings.in,extension list (#26),
KALKI,buyhatke + gyftr,yes,website,kalkifashion.com,extension list (#26),
Kalyan Diamond,buyhatke,yes,website,kalyanjewellers.net,extension list (#26),
Kalyan Diamond In Store,buyhatke,yes,store only,kalyanjewellers.net,page loaded and checked 2026-09-17,
Kalyan Diamond Jewellery,gyftr,no,store only,kalyanjewellers.net,page loaded and checked 2026-09-17,
Kalyan Diamond Jewellery In Store,buyhatke,yes,store only,kalyanjewellers.net,page loaded and checked 2026-09-17,
Kalyan Gold Coins,gyftr,no,store only,kalyanjewellers.net,page loaded and checked 2026-09-17,
Kalyan Gold Coins In Store,buyhatke,yes,store only,kalyanjewellers.net,page loaded and checked 2026-09-17,
Kalyan Gold Jewellery,gyftr,yes,store only,kalyanjewellers.net,confirmed 2026-09-10: auto: name in address,
Kalyan Jewellers In Store,buyhatke,yes,store only,kalyanjewellers.net,page loaded and checked 2026-09-17,
Kama Ayurveda,gyftr,no,website,kamaayurveda.in,extension list (#26),
Kama Ayurveda In Store,buyhatke,yes,store only,kamaayurveda.com,page loaded and checked 2026-09-17,
Kate Spade Luxe In Store,buyhatke,yes,store only,katespade.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Kate Spade- Luxe Gift Card,gyftr,yes,store only,katespade.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Kate Spade-Luxe,buyhatke + maximize,yes,store only,,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Ketan Diamonds Diamond Only,buyhatke + gyftr + maximize,yes,website,ketandiamonds.com,confirmed 2026-09-10: auto: name in address,
Ketan Diamonds Gold Coin,buyhatke + gyftr + maximize,yes,website,ketandiamonds.com,extension list (#26),
Ketan Diamonds Gold Coin In Store,buyhatke,yes,store only,ketandiamonds.com,page loaded and checked 2026-09-17,
Ketan Diamonds Gold Jewellery,buyhatke + gyftr + maximize,yes,website,ketandiamonds.com,confirmed 2026-09-10: auto: name in address,
KFC,buyhatke + gyftr,yes,website,kfc.co.in,extension list (#26),
Kiehls In Store,buyhatke,yes,store only,kiehls.in,page loaded and checked 2026-09-17,
Kimirica,buyhatke + gyftr + maximize,yes,website,kimirica.shop,extension list (#26),
Klook,buyhatke + gyftr,yes,website,klook.com,extension list (#26),
La Martina- Luxe Gift Card,gyftr,yes,store only,lamartina.com,page loaded and checked 2026-09-17,
Lakm Salon In Store,buyhatke,yes,store only,lakmesalon.in,page loaded and checked 2026-09-17,
Lakme - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Lakme Salon,maximize,yes,store only,lakmesalon.in,page loaded and checked 2026-09-17,
Landline Bill Payment,gyftr,no,not a shop,,"bill payment / recharge, not a shop (inactive)",
Lawrence and Mayo,maximize,yes,store only,lawrenceandmayo.com,page loaded and checked 2026-09-17,
Lawrence and Mayo In Store,buyhatke,yes,store only,lawrenceandmayo.com,page loaded and checked 2026-09-17,
LE CREUSET,maximize,yes,store only,lecreuset.co.in,site did not answer an automatic visit (2026-09-17),
LE CREUSET In Store,buyhatke,yes,store only,lecreuset.co.in,site did not answer an automatic visit (2026-09-17),
Lee,buyhatke,yes,website,lee.in,extension list (#26),
Lee 3 Day Wait,buyhatke,yes,website,lee.in,confirmed 2026-09-10: auto: name in address,
Lee In Store,buyhatke,yes,store only,lee.in,page loaded and checked 2026-09-17,
LENSKART,gyftr + maximize,yes,website,lenskart.com,extension list (#26),
Lenskart 3 Day Wait,buyhatke,yes,website,lenskart.com,confirmed 2026-09-10: auto: name in address,
Levis,buyhatke + gyftr,yes,website,levi.in,extension list (#26),
Levis In Store,buyhatke,yes,store only,levi.in,page loaded and checked 2026-09-17,
Libas,gyftr,yes,website,libas.in,extension list (#26),
Liberty,buyhatke + gyftr,yes,website,libertyshoesonline.com,confirmed 2026-09-10: auto: name in address,
Liberty In Store,buyhatke,no,store only,libertyshoesonline.com,page loaded and checked 2026-09-17,
Liberty Offline,maximize,yes,store only,libertyshoes.com,verified in Aug 2026 audit,
Liberty Offline In Store,buyhatke,yes,store only,libertyshoesonline.com,page loaded and checked 2026-09-17,
Liberty Online,gyftr + maximize,yes,website,libertyshoesonline.com,extension list (#26),
Lifestyle,buyhatke + gyftr,yes,website,lifestylestores.com,extension list (#26),
Lifestyle In Store,buyhatke,yes,store only,lifestylestores.com,page loaded and checked 2026-09-17,
Lifestyle Offline,maximize,yes,store only,lifestylestores.com,page loaded and checked 2026-09-17,
Lifestyle Online,gyftr + maximize,yes,website,lifestylestores.com,confirmed 2026-09-10: auto: name in address,
Linen Club,maximize,yes,store only,linenclub.com,page loaded and checked 2026-09-17,
Linen Club In Store,buyhatke,yes,store only,linenclub.com,page loaded and checked 2026-09-17,
Lionsgate Play,buyhatke + gyftr + maximize,yes,website,lionsgateplay.com,extension list (#26),
Lite Bite Food In Store,buyhatke,yes,store only,litebitefoods.com,page loaded and checked 2026-09-17,
Live Hindustan,gyftr,yes,website,livehindustan.com,extension list (#26),
Live Mint,buyhatke + maximize,yes,website,livemint.com,extension list (#26),
Lohono Stays,buyhatke + gyftr + maximize,yes,website,lohono.com,extension list (#26),
Looks - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Louis Philippe,maximize,no,store only,louisphilippe.abfrl.in,page loaded and checked 2026-09-17,
Louis Philippe Gift Voucher,gyftr,yes,store only,louisphilippe.abfrl.in,page loaded and checked 2026-09-17,
Louis Philippe In Store,buyhatke,no,store only,louisphilippe.abfrl.in,page loaded and checked 2026-09-17,
Love Beauty Planet,buyhatke,yes,website,lovebeautyandplanet.in,extension list (#26),
Lulu Hypermarket,buyhatke + maximize,yes,website,luluhypermarket.in,seller's terms name luluhypermarket.in; web search also shows luluhypermarket.com/en-in — worth a look,
Lunch Box,buyhatke + gyftr,yes,app only,eatsure.com,terms: only redeemable in the EatSure iOS/Android app (a Rebel Foods brand); eatsure.com rejected as this brand's site on 2026-09-10,
Luxe Gift Card,gyftr,yes,store only,luxegiftcard.com,page loaded and checked 2026-09-17,
Luzo,maximize,yes,store only,luzo.app,verified in Aug 2026 audit,
"LUZO - Salons, Spas, Clinics",gyftr,yes,website,luzo.app,extension list (#26),
Luzo salon Spa And Clinics,maximize,yes,store only,luzo.app,page loaded and checked 2026-09-17,
Mac,gyftr,no,store only,maccosmetics.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Machaan In Store,buyhatke,yes,store only,speciality.co.in,voucher terms,"Speciality Restaurants voucher (Mainland China, Machaan, Sigree, Oh! Calcutta, Sweet Bengal)"
Madame In Store,buyhatke,yes,store only,madameonline.com,web search 2026-09-17,
Made In Punjab,gyftr,yes,store only,madeinpunjab.co.in,web search 2026-09-17,a Massive Restaurants brand
Mainland China,gyftr,yes,store only,speciality.co.in,page loaded and checked 2026-09-17,
Mainland China In Store,buyhatke,yes,store only,speciality.co.in,page loaded and checked 2026-09-17,
Maje Luxe In Store,buyhatke,yes,store only,maje.com,page loaded and checked 2026-09-17,
MAJE- Luxe Gift Card,gyftr,no,store only,maje.com,page loaded and checked 2026-09-17,
MakeMyTrip,buyhatke + maximize,yes,website,makemytrip.com,extension list (#26),
MakeMyTrip Bus,buyhatke + maximize,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
MakeMyTrip Cab,maximize,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
MakeMyTrip e-Pay,gyftr + maximize,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
Makemytrip Holiday,maximize,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
MakeMyTrip Holiday e-Pay,gyftr + maximize,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
MakeMyTrip Holidays,buyhatke,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
Makemytrip Hotel,buyhatke + maximize,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
MakeMyTrip Hotel e-Pay,gyftr + maximize,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
MakeMyTrip International,maximize,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
MakeMyTrip Rail,buyhatke + maximize,yes,website,makemytrip.com,confirmed 2026-09-10: auto: name in address,
Makhani Darbar,buyhatke,no,app only,eatsure.com,terms: only redeemable in the EatSure iOS/Android app (a Rebel Foods brand); eatsure.com rejected as this brand's site on 2026-09-10 (listing inactive),
Malabar Diamond,maximize,yes,website,malabargoldanddiamonds.com,same brand verified in Aug 2026 audit,
Malabar Diamonds,buyhatke + gyftr,yes,website,malabargoldanddiamonds.co,extension list (#26),
Malabar Diamonds 1 Day Wait,buyhatke,yes,website,malabargoldanddiamonds.com,confirmed 2026-09-10: auto: name in address,
Malabar Gold Coin,buyhatke + gyftr + maximize,yes,website,malabargoldanddiamonds.com,confirmed 2026-09-10: auto: name in address,
Malabar Gold Jewellery,buyhatke,yes,website,malabargoldanddiamonds.com,confirmed 2026-09-10: auto: name in address,
Malabar Jewellery,buyhatke + gyftr,yes,website,malabargoldanddiamonds.com,confirmed 2026-09-10: auto: name in address,
Malabar Silver Coin,gyftr,no,website,malabargoldanddiamonds.com,verified in Aug 2026 audit,
Mamaearth,gyftr,no,website,mamaearth.in,extension list (#26),
Mango,gyftr + maximize,yes,store only,mango.com,page loaded and checked 2026-09-17,
Mango In Store,buyhatke,yes,store only,mango.com,page loaded and checked 2026-09-17,
Manyavar,gyftr + maximize,no,store only,manyavar.com,verified in Aug 2026 audit,
Manyavar In Store,buyhatke,yes,store only,manyavar.com,page loaded and checked 2026-09-17,
Marks & Spencer,gyftr,yes,website,marksandspencer.in,extension list (#26),
Marks & Spencer,maximize,yes,website,marksandspencer.in,same brand already verified in Aug 2026 audit,
Marks and Spencer,buyhatke,yes,website,marksandspencer.in,confirmed 2026-09-10: auto: name in address,
Marks and Spencer In Store,buyhatke,yes,store only,marksandspencer.in,site did not answer an automatic visit (2026-09-17),
Marriott Dining In Store,buyhatke,yes,store only,marriott.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Marriott E Dining In Store,buyhatke,no,store only,marriott.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Marriott Hotels In Store,buyhatke,yes,store only,marriott.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Marriott Hotels India,maximize,yes,store only,marriott.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Marriott India -Dining,maximize,yes,store only,marriott.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Marriott India -Spa,maximize,yes,store only,marriott.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Marriott SPA In Store,buyhatke,no,store only,marriott.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Masala Library,gyftr,yes,store only,massiverestaurants.com,web search 2026-09-17,a Massive Restaurants brand
Matrix,buyhatke + gyftr,yes,website,matrix.in,extension list (#26),
MAX,gyftr,yes,store only,maxfashion.in,verified in Aug 2026 audit,
Max Fashion (Offline),maximize,yes,store only,maxfashion.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Max Fashion In Store,buyhatke,no,store only,maxfashion.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Max Fashion Online,gyftr,yes,website,maxfashion.com,confirmed 2026-09-10: auto: name in address,
McDonalds In Store,buyhatke,no,store only,mcdindia.com,page loaded and checked 2026-09-17,
Me N Moms,buyhatke + gyftr + maximize,yes,website,menmoms.in,extension list (#26),
Mediwheel,buyhatke + gyftr,yes,website,mediwheel.in,extension list (#26),
Mia,gyftr,yes,store only,miabytanishq.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Mia By Tanishq,maximize,yes,store only,miabytanishq.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Mia By Tanishq In Store,buyhatke,yes,store only,miabytanishq.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Michael Kors Luxe In Store,buyhatke,yes,store only,michaelkors.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Michael Kors-Luxe,maximize,yes,store only,,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Michael Kors-Luxe Gift Card,gyftr,yes,store only,michaelkors.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Microsoft Office,gyftr + maximize,yes,website,microsoft.com,extension list (#26),
Microsoft Xbox Game Pass Core,gyftr,yes,website,microsoft.com,confirmed 2026-09-10: auto: name in address,
Microsoft Xbox PC Game Pass,gyftr,no,website,microsoft.com,confirmed 2026-09-10: auto: name in address,
Milkbasket,buyhatke + gyftr + maximize,yes,website,milkbasket.com,extension list (#26),
Milton,buyhatke,yes,website,milton.in,extension list (#26),
Minecraft Minecoins,buyhatke,yes,website,minecraft.net,extension list (#26),
MiniKlub,buyhatke,no,website,miniklub.in,web search: miniklub.in (listing inactive),
Minus30,gyftr + maximize,yes,website,minus30.co,extension list (#26),
Miraggio,buyhatke + maximize,yes,website,miraggiolife.com,extension list (#26),
Moba Legends,buyhatke,no,website,mobilelegends.com,same brand verified in Aug 2026 audit (listing inactive),
Moba Legends 5v5,gyftr + maximize,yes,website,mobilelegends.com,extension list (#26),
Mobile Postpaid - Bill Payment,gyftr,no,store only,,voucher terms,"bill payment, not a shop"
Mobile Prepaid - Recharge,gyftr,no,not a shop,,"bill payment / recharge, not a shop (inactive)",
Modern Bazaar,buyhatke + maximize,yes,website,modernbazaar.online,web search: modernbazaar.online; terms: online and in-store,
Mokobara,buyhatke + maximize,yes,website,mokobara.com,extension list (#26),
Moments by The Leela In Store,buyhatke,yes,store only,theleela.com,page loaded and checked 2026-09-17,
MOTHER CARE-Luxe,maximize,yes,website,mothercare.in,"Luxe card terms (luxegiftcard.com/terms-and-conditions) list 8 brand sites where it works online: superdry.in, stevemadden.in, mothercare.in, gasjeans.in, dieselindia.com, armaniexchange.in, muji.in, sunglasshut.in",
Mothercare Luxe In Store,buyhatke,yes,store only,mothercare.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Mothercare-Luxe Gift Card,gyftr,no,website,mothercare.in,extension list (#26),
MPJ Diamond Jewellery,maximize,yes,store only,mpjjewellers.com,web search: mpjjewellers.com; Maximize diamond card redeemed in store,
MPJ Gold Jewellery,maximize,yes,store only,mpjjewellers.com,page loaded and checked 2026-09-17,
MS Xbox Game Pass Ultimate,gyftr,yes,website,xbox.com,confirmed 2026-09-10: auto: name in address,
Muji Luxe In Store,buyhatke,yes,store only,muji.in,page loaded and checked 2026-09-17,
MUJI- Luxe Gift Card,gyftr,yes,website,muji.in,extension list (#26),
Muro In Store,buyhatke,yes,store only,,voucher terms,a single restaurant in Bangalore; no website found
Muro QC,maximize,yes,store only,,voucher terms,a single restaurant in Bangalore; no website found
Muscle%20Blaze,maximize,yes,website,muscleblaze.com,extension list (#26),
Muthoot Gold,buyhatke,yes,website,muthoot.com,extension list (#26),
Muthoot Gold Voucher,gyftr + maximize,yes,website,muthoot.com,confirmed 2026-09-10: auto: name in address,
My Jio Store In Store,buyhatke,yes,store only,jio.com,page loaded and checked 2026-09-17,
Myntra,buyhatke + gyftr + maximize,yes,website,myntra.com,extension list (#26),
Myntra LUXE,buyhatke,yes,website,myntra.com,terms + same brand: myntra.com,
myUpchar Medicines,buyhatke,yes,website,myupchar.com,extension list (#26),
Nat Habit,buyhatke + gyftr,yes,website,nathabit.in,extension list (#26),
Natural Salon 10K,maximize,yes,store only,naturals.in,page loaded and checked 2026-09-17,
Natural Salon 20K,maximize,yes,store only,naturals.in,page loaded and checked 2026-09-17,
Natural Salon 4K,maximize,yes,store only,naturals.in,page loaded and checked 2026-09-17,
Naturals - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Nature's Basket,buyhatke + maximize,yes,website,naturesbasket.co.in,extension list (#26),
Natures Basket In Store,buyhatke,yes,store only,naturesbasket.co.in,page loaded and checked 2026-09-17,
Nautica,gyftr + maximize,yes,store only,nautica.in,site did not answer an automatic visit (2026-09-17),
Neemans,buyhatke + gyftr + maximize,yes,website,neemans.com,extension list (#26),
Neerus,maximize,yes,store only,neerus.com,page loaded and checked 2026-09-17,
Neerus In Store,buyhatke,yes,store only,neerus.com,page loaded and checked 2026-09-17,
Nestasia,gyftr + maximize,yes,store only,nestasia.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Netmeds,buyhatke + gyftr + maximize,yes,website,netmeds.com,extension list (#26),
NEXT,gyftr + maximize,yes,store only,nextdirect.com,page loaded and checked 2026-09-17,
NEXT In Store,buyhatke,yes,store only,nextdirect.com,page loaded and checked 2026-09-17,
Nilkamal Homes,maximize,yes,website,nilkamalhomes.com,extension list (#26),
Nintendo,buyhatke,yes,website,nintendo.com,extension list (#26),
Nintendo eShop Voucher,gyftr,yes,website,nintendo.com,confirmed 2026-09-10: auto: name in address,
Nintendo Shop,maximize,yes,website,nintendo.com,confirmed 2026-09-10: auto: name in address,
NU Ayurveda In Store,buyhatke,yes,store only,nuayurveda.com,page loaded and checked 2026-09-17,
Nua Woman,gyftr,yes,website,nuawoman.com,extension list (#26),
Nua Women,buyhatke + maximize,yes,website,nuawoman.com,confirmed 2026-09-10: auto: name in address,
Nykaa,buyhatke + gyftr + maximize,yes,website,nykaa.com,extension list (#26),
Nykaa Fashion,buyhatke + gyftr + maximize,yes,website,nykaafashion.com,extension list (#26),
Nykaa LUXE,buyhatke,yes,website,nykaa.com,confirmed 2026-09-10: auto: name in address,
Nykaa Man,buyhatke + gyftr,yes,website,nykaaman.com,extension list (#26),
Nykaa Men,maximize,yes,website,nykaaman.com,confirmed 2026-09-10: checked by hand,
O2 Spa Salon In Store,buyhatke,yes,store only,,web search 2026-09-17,o2spa.com is for sale and o2spa.org does not load; no working site found
Ode Spa Salon,maximize,yes,store only,odespa.com,web search: odespa.com; terms: valid at ODE Spa outlets,
Ode Spa Salon In Store,buyhatke,yes,store only,odespa.com,site did not answer an automatic visit (2026-09-17),
Oh Calcutta In Store,buyhatke,yes,store only,speciality.co.in,page loaded and checked 2026-09-17,
Oh! Calcutta,gyftr + maximize,yes,store only,speciality.co.in,page loaded and checked 2026-09-17,
OLA CABS,buyhatke + gyftr,yes,website,olacabs.com,extension list (#26),
Organic In Store,buyhatke,yes,store only,organicindia.com,page loaded and checked 2026-09-17,
ORGANIC INDIA,gyftr + maximize,yes,store only,organicindia.com,page loaded and checked 2026-09-17,
Origin Nutrition,buyhatke,yes,website,originnutrition.in,extension list (#26),
